churn,sexo,idoso,possui parceiro,possui dependentes,tempo contrato,servico telefone,multiplas linhas,servico internet,suporte tecnico,streaming tv,streaming filmes,contrato conta,preco diario,cobrancas mensais,total de encargos,excedente a mensalidade,churn_label
0,Feminino,0,1,1,9,1,0,DSL,1,1,0,Um ano,2.2,65.6,593.3,527.7,Permaneceram
0,Masculino,0,0,0,9,1,1,DSL,0,0,1,Mensal,2.0,59.9,542.4,482.5,Permaneceram
1,Masculino,0,0,0,4,1,0,Fibra optica,0,0,0,Mensal,2.5,73.9,280.8,207.0,Saíram
1,Masculino,1,1,0,13,1,0,Fibra optica,0,1,1,Mensal,3.3,98.0,1237.8,1139.8,Saíram
1,Feminino,1,1,0,3,1,0,Fibra optica,1,1,0,Mensal,2.8,83.9,267.4,183.5,Saíram
0,Feminino,0,0,1,9,1,0,DSL,1,1,1,Mensal,2.3,69.4,571.4,502.1,Permaneceram
0,Feminino,1,1,0,71,1,0,Fibra optica,1,1,1,Dois anos,3.7,109.7,7904.2,7794.6,Permaneceram
0,Masculino,0,1,0,63,1,1,Fibra optica,1,0,0,Dois anos,2.8,84.6,5377.8,5293.2,Permaneceram
0,Feminino,1,0,0,7,1,0,DSL,0,0,0,Mensal,1.6,48.2,340.4,292.2,Permaneceram
0,Feminino,0,1,1,65,1,1,DSL,1,1,1,Dois anos,3.0,90.4,5957.9,5867.4,Permaneceram
0,Masculino,0,0,0,54,0,0,DSL,1,1,0,Dois anos,1.5,45.2,2460.6,2415.4,Permaneceram
0,Feminino,0,1,1,72,1,1,Fibra optica,1,1,1,Dois anos,3.9,116.8,8456.8,8340.0,Permaneceram
0,Feminino,0,1,0,5,1,0,Fibra optica,0,0,0,Mensal,2.3,69.0,351.5,282.6,Permaneceram
0,Feminino,0,0,0,72,1,1,Fibra optica,0,1,0,Dois anos,3.4,101.3,7261.2,7160.0,Permaneceram
0,Feminino,0,0,0,56,0,0,DSL,1,0,0,Dois anos,1.5,45.0,2560.1,2515.0,Permaneceram
0,Feminino,0,1,1,71,1,1,Fibra optica,0,0,1,Dois anos,3.2,95.8,6849.4,6753.6,Permaneceram
0,Feminino,0,1,1,34,0,0,DSL,1,1,1,Um ano,2.0,61.2,1993.2,1932.0,Permaneceram
0,Feminino,1,0,0,1,1,1,Fibra optica,0,0,0,Mensal,2.4,72.1,72.1,0.0,Permaneceram
1,Masculino,1,0,0,45,1,0,DSL,0,0,1,Um ano,2.1,62.7,2791.5,2728.8,Saíram
1,Masculino,1,0,0,1,0,0,DSL,0,0,0,Mensal,0.8,25.1,25.1,0.0,Saíram
0,Feminino,1,1,0,50,1,1,Nao disponivel,0,0,0,Um ano,0.8,25.2,1306.3,1281.1,Permaneceram
1,Feminino,0,1,0,13,1,1,Fibra optica,0,1,0,Mensal,3.1,94.1,1215.6,1121.5,Saíram
0,Feminino,0,1,1,23,1,1,Fibra optica,0,1,0,Mensal,2.8,83.8,1850.0,1766.2,Permaneceram
0,Feminino,0,0,0,3,1,0,Nao disponivel,0,0,0,Mensal,0.7,19.8,57.2,37.4,Permaneceram
1,Feminino,0,1,1,4,1,0,Nao disponivel,0,0,0,Mensal,0.7,20.4,76.4,56.0,Saíram
1,Feminino,0,1,1,1,0,0,DSL,0,0,0,Mensal,1.0,30.5,30.5,0.0,Saíram
0,Feminino,0,1,1,55,1,0,Fibra optica,1,1,1,Um ano,3.5,103.7,5656.8,5553.0,Permaneceram
0,Masculino,0,1,1,54,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.4,1090.6,1070.2,Permaneceram
0,Masculino,0,0,0,26,1,0,Nao disponivel,0,0,0,Um ano,0.7,19.6,471.8,452.2,Permaneceram
0,Feminino,0,1,1,69,1,0,Nao disponivel,0,0,0,Dois anos,0.7,19.7,1396.9,1377.2,Permaneceram
0,Masculino,0,1,1,37,1,0,Fibra optica,0,1,1,Um ano,3.0,91.2,3247.6,3156.4,Permaneceram
0,Feminino,0,1,0,49,1,0,Nao disponivel,0,0,0,Um ano,0.7,20.4,900.9,880.4,Permaneceram
0,Masculino,0,1,0,66,1,1,Fibra optica,1,1,1,Um ano,3.9,115.8,7942.2,7826.4,Permaneceram
0,Feminino,0,0,0,67,1,0,Nao disponivel,0,0,0,Um ano,0.7,20.6,1343.4,1322.9,Permaneceram
0,Masculino,0,1,1,20,0,0,DSL,1,0,0,Dois anos,1.3,39.4,825.4,786.0,Permaneceram
0,Feminino,0,0,1,43,1,1,Nao disponivel,0,0,0,Dois anos,0.8,25.1,1070.2,1045.1,Permaneceram
0,Feminino,0,1,0,55,1,1,Fibra optica,0,1,0,Mensal,3.0,89.8,4959.6,4869.8,Permaneceram
0,Feminino,0,1,0,59,1,1,Fibra optica,0,1,0,Mensal,3.2,94.8,5597.6,5502.9,Permaneceram
0,Feminino,0,1,1,12,1,0,Nao disponivel,0,0,0,Dois anos,0.7,20.3,224.5,204.2,Permaneceram
0,Masculino,0,1,1,27,1,1,Fibra optica,0,0,0,Mensal,2.5,75.8,1929.0,1853.2,Permaneceram
1,Masculino,1,0,0,2,1,0,DSL,0,0,0,Mensal,1.6,49.2,91.1,41.8,Saíram
0,Feminino,0,0,0,27,1,0,DSL,1,1,1,Um ano,2.6,78.2,2079.0,2000.7,Permaneceram
0,Masculino,0,1,1,25,1,1,Nao disponivel,0,0,0,Dois anos,0.8,25.5,630.6,605.1,Permaneceram
0,Masculino,0,1,1,25,1,0,DSL,0,0,0,Um ano,2.1,61.6,1611.0,1549.4,Permaneceram
0,Masculino,0,0,1,29,0,0,DSL,1,0,0,Mensal,1.5,45.0,1242.4,1197.4,Permaneceram
0,Masculino,0,1,0,72,1,1,DSL,1,1,1,Dois anos,2.8,85.2,6316.2,6231.0,Permaneceram
0,Feminino,0,0,0,14,1,0,DSL,0,0,0,Um ano,1.7,51.4,727.8,676.4,Permaneceram
0,Feminino,0,0,0,35,1,0,Fibra optica,1,1,1,Um ano,3.3,99.2,3532.0,3432.8,Permaneceram
0,Masculino,0,0,0,1,1,0,DSL,0,0,0,Mensal,1.5,44.3,44.3,0.0,Permaneceram
0,Masculino,0,0,0,29,1,0,Fibra optica,1,1,1,Mensal,3.1,94.2,2607.6,2513.4,Permaneceram
0,Masculino,0,0,0,64,1,1,DSL,1,1,0,Um ano,2.7,81.2,5567.6,5486.3,Permaneceram
0,Feminino,0,1,1,39,1,1,Fibra optica,1,1,1,Mensal,3.3,100.0,3767.4,3667.4,Permaneceram
0,Feminino,1,0,0,40,1,0,Fibra optica,0,1,1,Mensal,3.1,91.6,3673.6,3582.0,Permaneceram
1,Masculino,0,0,0,40,1,1,Fibra optica,0,1,1,Mensal,3.5,104.5,4036.8,3932.4,Saíram
1,Feminino,1,0,0,11,1,0,Fibra optica,0,1,1,Mensal,3.2,95.0,1120.3,1025.3,Saíram
0,Feminino,0,1,0,6,1,1,DSL,0,0,0,Mensal,1.7,50.4,314.6,264.2,Permaneceram
0,Masculino,0,0,0,30,1,1,DSL,0,0,1,Mensal,2.2,64.5,1888.4,1824.0,Permaneceram
0,Masculino,0,0,0,27,1,0,Nao disponivel,0,0,0,Mensal,0.6,19.4,529.8,510.4,Permaneceram
0,Masculino,1,1,0,70,1,1,Fibra optica,0,1,1,Um ano,3.5,104.8,7309.0,7204.2,Permaneceram
0,Feminino,0,1,0,57,1,1,Fibra optica,1,1,1,Um ano,3.6,109.4,6252.7,6143.3,Permaneceram
0,Masculino,0,1,0,58,1,0,DSL,0,0,0,Um ano,1.7,50.3,2878.6,2828.2,Permaneceram
0,Masculino,0,0,0,16,1,1,DSL,0,0,1,Mensal,2.4,71.4,1212.1,1140.7,Permaneceram
0,Feminino,0,1,0,69,1,1,Fibra optica,1,1,1,Dois anos,3.9,116.0,8182.8,8066.8,Permaneceram
1,Masculino,0,0,0,1,1,0,Nao disponivel,0,0,0,Mensal,0.7,19.8,19.8,0.0,Saíram
1,Masculino,0,0,1,1,1,1,Fibra optica,0,1,1,Mensal,3.3,99.8,99.8,0.0,Saíram
0,Masculino,1,1,1,32,1,0,Fibra optica,0,1,1,Mensal,3.1,94.0,2861.4,2767.5,Permaneceram
0,Masculino,0,1,1,16,1,1,Fibra optica,0,1,0,Mensal,3.0,90.8,1442.2,1351.4,Permaneceram
1,Masculino,0,1,0,49,1,1,DSL,1,1,1,Um ano,2.8,84.4,4059.4,3975.0,Saíram
0,Feminino,0,1,0,71,0,0,DSL,1,1,1,Dois anos,1.9,58.2,4145.9,4087.6,Permaneceram
0,Feminino,0,0,0,33,1,1,Fibra optica,0,1,1,Mensal,3.6,107.6,3645.5,3538.0,Permaneceram
